signal,horizon,ic,oos_r2,oos_ic,p_value_ic,a_s_cost_bps,expected_return_bps,survival,n_obs
cci_28,1day,0.006325806042895773,-0.0020185075664120866,-0.008196105411757509,1.7692090015231088e-09,36.486709909225844,2.268199967202503,False,904942
roc_5,1day,-0.010009101105175822,-0.0013732546586744387,-0.016160563860970024,0.0,36.486709909225844,-3.5901866272062746,False,905703
roc_10,1day,-0.011789831995926758,-0.001242668046296469,-0.02109189236421776,0.0,36.486709909225844,-4.22885163175465,False,905544
roc_20,1day,-0.013763532626066746,-0.0010717004386966433,-0.02631971523070448,0.0,36.486709909225844,-4.936528582510076,False,905293
williams_r_14,1day,-0.000827412322206528,-0.001618606169726533,-0.011563248644505692,0.4311024383523627,36.486709909225844,-0.296751529381831,False,905409
atr_14,1day,0.009653534098740018,-0.002773821159130163,0.03377481941551441,0.0,36.486709909225844,3.462206419988997,False,905384
atr_28,1day,0.007791784202032607,-0.002577736453443169,0.03275948571306154,1.2434497875801753e-13,36.486709909225844,2.793807181875857,False,904908
bb_upper,1day,-0.03042778835626303,-0.016522502175982057,-0.07664998251766163,0.0,36.486709909225844,-10.911921418576057,False,905214
bb_mid,1day,-0.030591391555496946,-0.017139421224825035,-0.07714180359886816,0.0,36.486709909225844,-10.970592302998082,False,905214
bb_lower,1day,-0.030755032650376737,-0.017770050491374034,-0.077617180777236,0.0,36.486709909225844,-11.029276777441998,False,905214
bb_width,1day,0.04920220131744294,0.002661974410471113,0.057722133228572274,0.0,36.486709909225844,17.644744603542215,False,905214
bb_percent_b,1day,0.0043962493841917735,-0.001860166358368387,-0.008298755025271188,2.880340363731193e-05,36.486709909225844,1.5765696558386213,False,905214
natr_14,1day,0.061427779096303516,0.004830794040436626,0.07611471672091807,0.0,36.486709909225844,22.030859266415852,False,905384
obv,1day,0.014931435746140375,-0.0010560593128294826,0.01781638213918223,0.0,36.486709909225844,5.355973547319145,False,905872
obv_roc,1day,-0.0012561820131429177,-0.0015926650573188095,0.02662552566900862,0.2318592467135825,36.486709909225844,-0.45060394816207294,False,905848
mfi_14,1day,0.003044766660286837,-0.0017502733359253675,0.0013872055542104506,0.0038726640772459575,36.486709909225844,1.0877666214318056,False,899894
cmf_20,1day,-0.002089421397100193,-0.0016210093403683512,-0.0009693183045857713,0.04821925464848631,36.486709909225844,-0.7434830419379567,False,893865
volume_sma_10,1day,0.018692629801667072,-0.0002591242863920762,0.06957570594968218,0.0,36.486709909225844,6.682980318270493,False,901210
volume_ratio_10,1day,0.0011296941214167457,-0.0017505545014535606,0.001340748855454942,0.28352200405608263,36.486709909225844,0.40388771720181815,False,901210
volume_sma_20,1day,0.018464668157774842,-0.00029225680285493993,0.07212712238812813,0.0,36.486709909225844,6.59290386560199,False,898816
volume_ratio_20,1day,0.0018091969840247422,-0.00177101574414662,0.002146157802129012,0.08630405118877071,36.486709909225844,0.6459830031979086,False,898816
volume_sma_50,1day,0.017001302006447633,-0.0002874405126280788,0.07717986204280877,0.0,36.486709909225844,6.055516838274625,False,894298
volume_ratio_50,1day,0.0018420234085207762,-0.001581384915651629,0.0033299655591509953,0.08151694741167104,36.486709909225844,0.6560911489345547,False,894298
volume_per_dollar,1day,0.026168408342099787,3.1298491921849525e-05,0.07779467443695467,0.0,36.486709909225844,9.380887490492213,False,904962
volume_roc,1day,0.0021626689883064145,-0.001810038929971336,0.0066213040560802764,0.03979758756092888,36.486709909225844,0.7747565332547994,False,903650
spread_roc,1day,0.0011927276039704453,-0.0019672291814789578,0.0015267815983961881,0.2569999034923778,36.486709909225844,0.4270590029365935,False,903170
